Type,Bench,SD-factor,DIFA-M
SDA,Bounter,3.85,17.94
SDA,Bounter,4.21,18.91
SDA,Bounter,4.72,18.45
SDA,Bounter,3.58,18.61
SDA,Bounter,2.95,18.79
SDA,Bounter,3.99,18.95
SDA,Bounter,3.83,18.77
SDA,Bounter,4.42,18.43
SDA,Bounter,3.82,19.26
SDA,Bounter,6.79,18.83
CMPLT,Bounter,6.89,52.43
CMPLT,Bounter,6.32,50.96
CMPLT,Bounter,6.57,53.41
CMPLT,Bounter,8.65,46.06
CMPLT,Bounter,5.36,49.98
CMPLT,Bounter,5.78,47.53
CMPLT,Bounter,6.17,53.9
CMPLT,Bounter,6.08,47.04
CMPLT,Bounter,5.91,51.94
CMPLT,Bounter,6.03,45.57
SDA,Immutables,5.39,20.61
SDA,Immutables,4.15,20.03
SDA,Immutables,3.3,19.98
SDA,Immutables,4.28,20.98
SDA,Immutables,4.04,20.35
SDA,Immutables,3.89,20.42
SDA,Immutables,3.86,20.73
SDA,Immutables,3.66,20.56
SDA,Immutables,4.75,20.26
SDA,Immutables,3.38,20.74
CMPLT,Immutables,9.72,37.8
CMPLT,Immutables,9.95,33.48
CMPLT,Immutables,10.79,35.64
CMPLT,Immutables,9.98,35.64
CMPLT,Immutables,9.55,38.88
CMPLT,Immutables,9.33,37.08
CMPLT,Immutables,8.63,32.4
CMPLT,Immutables,8.18,38.88
CMPLT,Immutables,11.43,38.88
CMPLT,Immutables,10.32,38.52
SDA,Simplejson,4.12,18.63
SDA,Simplejson,3.74,18.35
SDA,Simplejson,3.01,18.42
SDA,Simplejson,3.71,17.65
SDA,Simplejson,3.57,18.08
SDA,Simplejson,4.62,18.67
SDA,Simplejson,4.23,18.11
SDA,Simplejson,3.99,18.29
SDA,Simplejson,3.83,17.93
SDA,Simplejson,3.27,18.16
CMPLT,Simplejson,5.44,26.6
CMPLT,Simplejson,5.92,29.12
CMPLT,Simplejson,5.16,26.32
CMPLT,Simplejson,4.61,28
CMPLT,Simplejson,6.73,25.76
CMPLT,Simplejson,5.93,26.88
CMPLT,Simplejson,5.06,25.76
CMPLT,Simplejson,5.35,29.68
CMPLT,Simplejson,4.87,26.04
CMPLT,Simplejson,5.03,29.68
SDA,Japronto,4.98,19.26
SDA,Japronto,6.72,18.98
SDA,Japronto,5.47,19.31
SDA,Japronto,3.89,19.03
SDA,Japronto,3.96,18.86
SDA,Japronto,4.29,18.62
SDA,Japronto,4.88,18.85
SDA,Japronto,3.21,18.82
SDA,Japronto,5.82,18.71
SDA,Japronto,6.06,18.64
CMPLT,Japronto,6.02,22.88
CMPLT,Japronto,5.94,22.44
CMPLT,Japronto,6.41,23.98
CMPLT,Japronto,7.57,21.56
CMPLT,Japronto,6.06,23.54
CMPLT,Japronto,5.46,23.32
CMPLT,Japronto,5.78,20.46
CMPLT,Japronto,6.19,23.54
CMPLT,Japronto,5.51,21.12
CMPLT,Japronto,5.64,22.88
SDA,Pygit2,3.06,25.12
SDA,Pygit2,3.98,23.36
SDA,Pygit2,2.39,22.16
SDA,Pygit2,2.27,22.98
SDA,Pygit2,2.87,23.45
SDA,Pygit2,2.19,22.69
SDA,Pygit2,3.27,25.61
SDA,Pygit2,2.78,21.98
SDA,Pygit2,2.23,22.13
SDA,Pygit2,2.05,21.83
CMPLT,Pygit2,4.05,26
CMPLT,Pygit2,4.44,24.7
CMPLT,Pygit2,3.98,27.3
CMPLT,Pygit2,3.86,24.18
CMPLT,Pygit2,3.89,25.74
CMPLT,Pygit2,3.59,28.08
CMPLT,Pygit2,3.93,23.66
CMPLT,Pygit2,3.44,23.66
CMPLT,Pygit2,3.82,26.26
CMPLT,Pygit2,3.56,24.96
SDA,Psycopg2,5.81,39.36
SDA,Psycopg2,5.32,36.61
SDA,Psycopg2,7.21,35.74
SDA,Psycopg2,6.35,37.87
SDA,Psycopg2,5.93,38.25
SDA,Psycopg2,4.99,39.77
SDA,Psycopg2,4.33,38.13
SDA,Psycopg2,4.88,37.26
SDA,Psycopg2,5.99,36.78
SDA,Psycopg2,5.65,36.51
CMPLT,Psycopg2,11.66,72.1
CMPLT,Psycopg2,12.13,65.8
CMPLT,Psycopg2,12.61,69.3
CMPLT,Psycopg2,11.89,74.2
CMPLT,Psycopg2,10.87,67.2
CMPLT,Psycopg2,13.31,70.7
CMPLT,Psycopg2,11.82,74.2
CMPLT,Psycopg2,12.23,74.9
CMPLT,Psycopg2,11.99,67.9
CMPLT,Psycopg2,11.85,74.2
SDA,Cvxopt,5.59,35.04
SDA,Cvxopt,5.71,34.2
SDA,Cvxopt,5.02,33.68
SDA,Cvxopt,4.93,36.04
SDA,Cvxopt,4.23,33.12
SDA,Cvxopt,4.61,34.4
SDA,Cvxopt,4.89,39.24
SDA,Cvxopt,6.26,34.92
SDA,Cvxopt,5.08,38.16
SDA,Cvxopt,5.44,38.88
CMPLT,Cvxopt,16.81,116.64
CMPLT,Cvxopt,16.03,109.08
CMPLT,Cvxopt,16.31,99.36
CMPLT,Cvxopt,15.68,113.4
CMPLT,Cvxopt,17.69,117.72
CMPLT,Cvxopt,16.21,108
CMPLT,Cvxopt,16.12,99.36
CMPLT,Cvxopt,15.96,110.16
CMPLT,Cvxopt,16.35,105.84
CMPLT,Cvxopt,16.58,108
SDA,Pygame,6.22,47
SDA,Pygame,7.49,47.47
SDA,Pygame,7.03,50.76
SDA,Pygame,6.58,47.94
SDA,Pygame,6.48,45.59
SDA,Pygame,6.94,47.94
SDA,Pygame,6.65,47.47
SDA,Pygame,5.66,50.76
SDA,Pygame,5.14,46.53
SDA,Pygame,6.93,43.71
CMPLT,Pygame,15.54,87.36
CMPLT,Pygame,21.66,82.81
CMPLT,Pygame,17.87,93.73
CMPLT,Pygame,16.85,95.55
CMPLT,Pygame,17.28,98.28
CMPLT,Pygame,19.21,94.64
CMPLT,Pygame,20.53,83.72
CMPLT,Pygame,19.72,94.64
CMPLT,Pygame,20.51,87.36
CMPLT,Pygame,20.73,85.54
SDA,PyTables,8.94,53.9
SDA,PyTables,14.52,52.8
SDA,PyTables,10.17,51.7
SDA,PyTables,13.89,60.5
SDA,PyTables,9.22,51.7
SDA,PyTables,10.76,59.4
SDA,PyTables,9.99,53.9
SDA,PyTables,11.57,55.55
SDA,PyTables,10.42,56.1
SDA,PyTables,9.63,55
CMPLT,PyTables,21.63,79.5
CMPLT,PyTables,25.31,76.5
CMPLT,PyTables,24.96,81
CMPLT,PyTables,27.83,70.5
CMPLT,PyTables,26.85,81
CMPLT,PyTables,26.27,72.75
CMPLT,PyTables,29.44,74.25
CMPLT,PyTables,25.93,78.75
CMPLT,PyTables,27.85,74.25
CMPLT,PyTables,26.09,69
SDA,Pyo,6.13,37.72
SDA,Pyo,6.31,43.05
SDA,Pyo,5.95,38.54
SDA,Pyo,6.03,43.05
SDA,Pyo,6.89,44.28
SDA,Pyo,5.64,39.77
SDA,Pyo,5.01,41.41
SDA,Pyo,6.78,38.95
SDA,Pyo,7.05,37.72
SDA,Pyo,5.92,39.36
CMPLT,Pyo,18.35,74.16
CMPLT,Pyo,16.13,65.52
CMPLT,Pyo,16.74,74.88
CMPLT,Pyo,15.56,79.2
CMPLT,Pyo,15.34,66.24
CMPLT,Pyo,14.93,69.84
CMPLT,Pyo,15.03,74.88
CMPLT,Pyo,14.71,67.68
CMPLT,Pyo,14.96,72.72
CMPLT,Pyo,15.32,72.72
SDA,NumPy,7.94,34.04
SDA,NumPy,11.46,35.89
SDA,NumPy,8.37,36.63
SDA,NumPy,9.79,40.7
SDA,NumPy,10.31,35.89
SDA,NumPy,7.76,35.52
SDA,NumPy,8.98,39.22
SDA,NumPy,8.56,38.11
SDA,NumPy,9.13,40.7
SDA,NumPy,10.91,38.48
CMPLT,NumPy,30.17,89.76
CMPLT,NumPy,25.63,84.48
CMPLT,NumPy,26.37,93.28
CMPLT,NumPy,26.11,88.88
CMPLT,NumPy,25.44,91.52
CMPLT,NumPy,23.29,88.88
CMPLT,NumPy,24.08,86.24
CMPLT,NumPy,25.22,80.96
CMPLT,NumPy,25.81,94.16
